date,year,quarter,industry,subindustry,institutional_sector,gva_constant,gva_current,total_gva,industry_share_pct,qoq_growth_pct,yoy_growth_pct,industry_rank,rolling_avg_4q,growth_contribution,volatility,cumulative_gva
2011-01-01,2011-12,q4,"agriculture, livestock, forestry and fishing",not specified,total gross saving,395797.5456,402948.8845,4301423.11044,9.201548776714347,0.0,0.0,2.0,0.0,0.0,0.0,395797.5456
2011-04-01,2011-12,q1,"agriculture, livestock, forestry and fishing",not specified,total gross saving,336108.8379,323221.7164,3938264.8558900002,8.534439663125285,-15.080615926891694,0.0,5.0,0.0,-50687.282940037985,0.0,731906.3835
2011-07-01,2011-12,q2,"agriculture, livestock, forestry and fishing",not specified,total gross saving,269074.1208,270231.3821,3826414.27375,7.0320174855583355,-19.944348241132637,0.0,5.0,0.0,-53665.0796791179,0.0,1000980.5042999999
2011-10-01,2011-12,q3,"agriculture, livestock, forestry and fishing",not specified,total gross saving,500965.5754,505545.3389,4147791.06158,12.077888398003571,86.18125515398877,0.0,2.0,375486.519925,431738.420769122,0.0,1501946.0797
2012-01-01,2012-13,q4,"agriculture, livestock, forestry and fishing",not specified,total gross saving,402678.0968,454454.4827,4492506.422524471,8.96332823879912,-19.619607299667553,1.7384016845201966,4.0,377206.65772499994,-79003.86127393518,52.245252191070556,1904624.1765
2012-04-01,2012-13,q1,"agriculture, livestock, forestry and fishing",not specified,total gross saving,341199.1851,360094.4597,4149183.697652691,8.223284625672898,-15.267508262445928,1.5144937073968023,5.0,378479.244525,-52092.613776540675,52.272711846570374,2245823.3616
2012-07-01,2012-13,q2,"agriculture, livestock, forestry and fishing",not specified,total gross saving,274362.4647,302960.7921,4095824.506597485,6.698589362363099,-19.588769058874277,1.9653855540908038,6.0,379801.33050000004,-53744.229594318465,52.209982385673875,2520185.8263
2012-10-01,2012-13,q3,"agriculture, livestock, forestry and fishing",not specified,total gross saving,506048.7582,557596.7684,4355061.397125292,11.619784706916759,84.44533174511899,1.0146770655730775,2.0,381072.1262,427334.552654045,51.342697584273886,3026234.5845
2013-01-01,2013-14,q4,"agriculture, livestock, forestry and fishing",not specified,total gross saving,426023.0684,497710.9356,4697162.941710639,9.069795399621555,-15.813829893516374,5.79742771844749,4.0,386908.36909999995,-67370.56334391491,50.70409747812068,3452257.6529
2013-04-01,2013-14,q1,"agriculture, livestock, forestry and fishing",not specified,total gross saving,354449.52,407712.546,4412465.533523093,8.03291305749856,-16.80039268033213,3.883460300796604,5.0,390220.952825,-59548.911213552376,50.948248949035474,3806707.1729
2013-07-01,2013-14,q2,"agriculture, livestock, forestry and fishing",not specified,total gross saving,289365.4713,350835.1992,4387801.539031064,6.594771179279432,-18.36200785375589,5.468316016334418,6.0,393971.704475,-53133.310566163746,50.72955289351731,4096072.6442
2013-10-01,2013-14,q3,"agriculture, livestock, forestry and fishing",not specified,total gross saving,539360.3342,670113.1839,4629888.204322178,11.649532567470775,86.39415814778314,6.582681107347899,2.0,402299.598475,465975.82011515973,51.70376164136751,4635432.978399999
2014-01-01,2014-15,q4,"agriculture, livestock, forestry and fishing",not specified,total gross saving,420673.4098,539374.2206,4997229.954167832,8.418131918246957,-22.005126605396562,-1.255720405022076,5.0,400962.183825,-92569.7164217287,52.77007894503171,5056106.3882
2014-04-01,2014-15,q1,"agriculture, livestock, forestry and fishing",not specified,total gross saving,362652.8124,460964.4272,4754315.445346664,7.627866021278631,-13.792313953854284,2.314375372831634,5.0,403013.006925,-50018.2144486902,52.33162933856048,5418759.2006
2014-07-01,2014-15,q2,"agriculture, livestock, forestry and fishing",not specified,total gross saving,299493.8795,404349.9978,4758720.083496482,6.293580505788987,-17.415812242574525,3.5002131230437605,6.0,405545.108975,-52159.29173172239,52.17429596828831,5718253.0801
2014-10-01,2014-15,q3,"agriculture, livestock, forestry and fishing",not specified,total gross saving,522894.1505,688922.9141,4914026.632749397,10.640848932628613,74.5925998130456,-3.0529096516567766,2.0,401428.56305,390040.34112828935,46.28733039181259,6241147.230599999
2015-01-01,2015-16,q4,"agriculture, livestock, forestry and fishing",not specified,total gross saving,425513.5587,582855.3166,5432905.286661215,7.8321549198495015,-18.623385193137665,1.1505716280715506,5.0,402638.600275,-79245.02908572895,45.647734475410005,6666660.7893
